Number	Movie_Title	Director1	Production_Company	Importer	Distributor1	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number
13	관상	한재림	(주)주피터필름,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-09-11	일반영화	장편	한국	1190	66005451500	9134586	19311179000	2561744
14	아이언맨 3	쉐인 블랙	파라마운트 픽쳐스	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-04-25	일반영화	장편	미국	1381	70806191000	9001309	21668935500	2595269
15	수상한 그녀	황동혁	(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름		씨제이이앤엠(주)	2014-01-22	일반영화	장편	한국	692	62696751249	8656417	15358810049	2042110
16	해적: 바다로 간 산적	이석훈	(주)하리마오픽쳐스		롯데쇼핑㈜롯데엔터테인먼트	2014-08-06	일반영화	장편	한국	910	66183966806	8625183	14928658006	1867143
17	국가대표	김용화	케이엠컬쳐㈜		쇼박스㈜미디어플렉스	2009-07-29	일반영화	장편	한국	580	60896633308	8487894	16782332500	2213346
18	디워	심형래	㈜영구아트		쇼박스㈜미디어플렉스	2007-08-01	일반영화	장편	한국	622	49340084700	8426973	13320274500	2098438
19	과속스캔들	강형철	(주)토일렛픽쳐스,(주)디씨지플러스		롯데쇼핑㈜롯데엔터테인먼트	2008-12-03	일반영화	장편	한국	405	53940101534	8245523	16515292833	2390408
20	웰컴 투 동막골	박광현	필름있수다,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2005-08-04	일반영화	장편	한국	356	40329355500	8008622	15058450500	2435088
21	트랜스포머 3	마이클 베이		씨제이이앤엠(주)	씨제이이앤엠(주)	2011-06-29	일반영화	장편	미국	1409	74841350500	7784807	21746223000	2143018
22	미션임파서블:고스트프로토콜	브래드 버드	파라마운트 픽쳐스	씨제이이앤엠(주)	씨제이이앤엠(주)	2011-12-15	일반영화	장편	미국	1038	57795846000	7575899	18719283500	2347164
23	트랜스포머: 패자의 역습	마이클 베이	드림웍스 SKG,파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2009-06-24	일반영화	장편	미국	1129	51478531663	7505700	16083028500	2200557
24	최종병기 활	김한민	(주)디씨지플러스,(주)다세포클럽		롯데쇼핑㈜롯데엔터테인먼트	2011-08-10	일반영화	장편	한국	615	55808856500	7466976	16139541000	2059847
25	트랜스포머	마이클 베이	드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2007-06-28	일반영화	장편	미국	863	47710604338	7440531	15304470500	2300866
26	써니	강형철	(주)알로하픽쳐스,(주)토일렛픽쳐스		씨제이이앤엠(주)	2011-05-04	일반영화	장편	한국	472	53773170600	7328820	15401904600	2004824
27	화려한 휴가	김지훈	기획시대(주)		씨제이엔터테인먼트(주)	2007-07-25	일반영화	장편	한국	551	44098621600	7307993	12987272100	2009666
28	베를린	류승완	(주)외유내강,씨제이이앤엠(주)		씨제이이앤엠(주)	2013-01-30	일반영화	장편	한국	894	52354931637	7166199	16070379637	2118794
29	어벤져스	조스 웨던		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-04-26	일반영화	장편	미국	967	59557853478	7074867	19280107897	2147619
30	은밀하게 위대하게	장철수	(주)엠씨엠씨		쇼박스㈜미디어플렉스	2013-06-05	일반영화	장편	한국	1341	48663939413	6953800	12415574413	1691014
31	타짜	최동훈	(주)영화사참,싸이더스 픽쳐스		씨제이엔터테인먼트(주)	2006-09-28	일반영화	장편	한국	492	36181466700	6847777	13074245500	2091058
32	좋은 놈, 나쁜 놈, 이상한 놈 	김지운	영화사그림,(주)바른손 		씨제이엔터테인먼트(주)	2008-07-17	일반영화	장편	한국	825	43768628939	6686912	13860913000	2012173
33	늑대소년	조성희	(주)영화사비단길		씨제이이앤엠(주)	2012-10-31	일반영화	장편	한국	706	46593107500	6654837	12336313500	1677173
34	미녀는 괴로워	김용화	리얼라이즈픽쳐스(주),케이엠컬쳐㈜		쇼박스㈜미디어플렉스	2006-12-14	일반영화	장편	한국	418	36292848900	6619498	12246595500	1934910
35	다크 나이트 라이즈	크리스토퍼 놀란		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2012-07-19	일반영화	장편	미국	1210	47644838000	6396528	16258149500	2057529
36	아저씨	이정범	오퍼스픽쳐스		씨제이엔터테인먼트(주)	2010-08-04	일반영화	장편	한국	478	47870792359	6282774	14820865000	1863328
37	전우치	최동훈	영화사 집		씨제이엔터테인먼트(주)	2009-12-23	일반영화	장편	한국	606	44605437017	6136928	12917834500	1684123
38	투사부일체	김동원	(주)시네마제니스 		씨제이엔터테인먼트(주)	2006-01-19	일반영화	장편	한국	407	31959686000	6105431	9592050000	1502821
39	인셉션	크리스토퍼 놀란	워너 브러더스 픽쳐스,레젼데리 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2010-07-21	일반영화	장편	미국	528	44106546302	5926948	15810485000	2026998
40	레미제라블	톰 후퍼		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2012-12-19	일반영화	장편	미국	696	43044999000	5911890	16482217500	2190090
41	미션 임파서블 3	J.J. 에이브럼스	파라마운트 픽쳐스,크루즈/와그너 프로덕션	UIP코리아	UIP코리아	2006-05-03	일반영화	장편	미국	441	32155201400	5740789	12181028900	1584202
42	가문의 위기(가문의 영광2)	정용기	(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2005-09-07	일반영화	장편	한국	351	28622355500	5635266	9133922000	1451468
43	숨바꼭질	허정	(주)드림캡쳐		(주)넥스트엔터테인먼트월드(NEW)	2013-08-14	일반영화	장편	한국	779	39593038500	5602543	10079982000	1356936
44	더 테러 라이브	김병우	(주)씨네이천		롯데쇼핑㈜롯데엔터테인먼트	2013-07-31	일반영화	장편	한국	743	39866712881	5583596	11349884881	1525130
45	의형제	장훈	쇼박스㈜미디어플렉스,(주)다세포클럽,루비콘픽쳐스㈜		쇼박스㈜미디어플렉스	2010-02-04	일반영화	장편	한국	572	40800867602	5507106	12204373500	1563042
46	감시자들	조의석	영화사 집		(주)넥스트엔터테인먼트월드(NEW)	2013-07-03	일반영화	장편	한국	949	39298005179	5496547	11031549179	1477594
47	2012	롤랜드 에머리히	센트로폴리스 엔터테인먼트	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-11-12	일반영화	장편	미국	789	39415166660	5462953	11671854500	1528658
48	완득이	이한	(주)유비유필름,어나더픽쳐스(주)		씨제이이앤엠(주)	2011-10-20	일반영화	장편	한국	500	38530503500	5310510	11657798500	1525277
49	트랜스포머: 사라진 시대	마이클 베이		씨제이이앤엠(주)	씨제이이앤엠(주)	2014-06-25	일반영화	장편	미국	1602	44013169845	5295935	11664376045	1323527
50	월드 워 Z	마크 포스터	플랜 비 엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2013-06-20	일반영화	장편	미국	964	38555357000	5237525	12048296500	1562677
51	타워	김지훈	씨제이이앤엠(주),(주)더타워픽쳐스		씨제이이앤엠(주)	2012-12-25	일반영화	장편	한국	617	37654858000	5181014	9052298500	1186378
52	말아톤	정윤철	시네라인투(주)		쇼박스㈜미디어플렉스	2005-01-27	일반영화	장편	한국	238	26284943000	5148022	9548544000	1552548
53	추격자	나홍진	(주)영화사비단길		쇼박스㈜미디어플렉스	2008-02-14	일반영화	장편	한국	435	33943278500	5071619	11611882500	1662668
54	쿵푸팬더 2	여인영		씨제이이앤엠(주)	씨제이이앤엠(주)	2011-05-26	일반영화	장편	미국	948	44298724500	5062722	14917759000	1575363
55	캐리비안의 해적: 세상의 끝에서	고어 버빈스키	제리 브룩하이머 필름,월트 디즈니 픽쳐스	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-05-23	일반영화	장편	미국	953	29133447500	4966571	9667900500	1481077
56	스파이더맨 3	샘 레이미	콜럼비아 픽쳐스 코포레이션,마블 엔터프라이즈	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-05-01	일반영화	장편	미국	806	29511658000	4935660	9581762500	1444270
57	바람과 함께 사라지다	김주호	(주)두타연,(유)에이디사공육		(주)넥스트엔터테인먼트월드(NEW)	2012-08-08	일반영화	장편	한국	694	34524377161	4897551	8302901161	1122802
58	어메이징 스파이더맨	마크 웹		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-06-28	일반영화	장편	미국	1118	41163951235	4853123	13100185524	1446116
59	조선명탐정:각시투구꽃의 비밀	김석윤	청년필름(주)		쇼박스㈜미디어플렉스	2011-01-27	일반영화	장편	한국	611	35841769500	4786259	10712744000	1363857
60	군도: 민란의 시대	윤종빈	(주)영화사 월광,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2014-07-23	일반영화	장편	한국	1394	36963364899	4771552	9955601299	1236822
61	범죄와의 전쟁: 나쁜놈들 전성시대	윤종빈	(주)팔레트픽처스,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2012-02-02	일반영화	장편	한국	699	36479147500	4710454	11716858500	1451900
62	엣지 오브 투모로우	더그 라이만		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2014-06-04	일반영화	장편	미국	801	38689974201	4695046	12201890401	1401889
63	신세계	박훈정	(주)사나이픽처스,페퍼민트앤컴퍼니,주식회사 대명문화공장,(주)파트너스케이		(주)넥스트엔터테인먼트월드(NEW)	2013-02-21	일반영화	장편	한국	671	34881330905	4682492	11114978905	1435648
64	쿵푸 팬더	마크 오스본		씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-06-05	일반영화	장편	미국	351	30000965000	4673009	10590329000	1556669
65	도가니	황동혁	(주)삼거리픽쳐스 ,(주)판타지오		씨제이이앤엠(주)	2011-09-22	일반영화	장편	한국	644	35566854800	4662822	10141606500	1267508
66	캐리비안의 해적 : 망자의 함	고어 버빈스키	월트 디즈니 픽쳐스	브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아	2006-07-06	일반영화	장편	미국	456	23832939000	4628903	8931507500	1525853
67	박물관이 살아있다!	숀 레비	이십세기폭스필름코퍼레이션,1492픽쳐스	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2006-12-21	일반영화	장편	미국	345	24401542200	4612831	7233315000	1226404
68	내 아내의 모든 것	민규동	(주)수필름,영화사 집		(주)넥스트엔터테인먼트월드(NEW)	2012-05-17	일반영화	장편	한국	563	34222160500	4598583	11547286500	1475165
69	터미네이터 : 미래전쟁의 시작	맥지	더 할사이온 컴퍼니	(유)마스엔터테인먼트코리아	롯데쇼핑㈜롯데엔터테인먼트	2009-05-21	일반영화	장편	미국	704	30146162133	4568891	9506441000	1367218
70	맘마미아!	필리다 로이드		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-09-03	일반영화	장편	미국	457	29570784560	4554785	11275657333	1646593
71	연가시	박정우	(주)오죤필름		씨제이이앤엠(주)	2012-07-05	일반영화	장편	한국	759	32154766664	4513026	7819583000	1040068
72	아이언맨 2	존 파브로	파라마운트 픽쳐스,마블 엔터프라이즈	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-04-29	일반영화	장편	미국	757	33161943100	4498335	10697867500	1370291
73	해리포터와 죽음의 성물2	데이빗 예이츠		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2011-07-13	일반영화	장편	미국	757	34507819000	4400298	11183806000	1361311
74	아이언맨	존 파브로		씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-04-30	일반영화	장편	미국	592	27802744668	4316003	9029366168	1329214
75	엑스맨: 데이즈 오브 퓨처 패스트	브라이언 싱어		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-05-22	일반영화	장편	미국	1056	34651695766	4313446	11315080666	1345720
76	강철중: 공공의 적 1-1	강우석	(주)케이앤제이엔터테인먼트,(주)시네마서비스		씨제이엔터테인먼트㈜	2008-06-19	일반영화	장편	한국	659	28465757767	4300670	9048970100	1298197
77	킹콩	피터 잭슨	유니버셜 픽쳐스	UIP코리아	UIP코리아	2005-12-14	일반영화	장편	미국	319	21476653172	4232430	7703272472	1352121
78	어메이징 스파이더맨 2	마크 웹		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-04-23	일반영화	장편	미국	1312	34844174800	4164946	10562832700	1187974
79	인디아나 존스 4 : 크리스탈 해골의 왕국	스티븐 스필버그		씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-05-22	일반영화	장편	미국	660	26693951667	4136101	8495873167	1245028
80	용의자	원신연	(주)그린피쉬,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-12-24	일반영화	장편	한국	807	30041348000	4131873	7563772000	997760
81	건축학개론	이용주	(주)명필름		롯데쇼핑㈜롯데엔터테인먼트	2012-03-22	일반영화	장편	한국	593	30219800500	4110645	11003948000	1431173
82	태풍	곽경택	씨제이엔터테인먼트(주)		씨제이엔터테인먼트(주)	2005-12-14	일반영화	장편	한국	481	22209675300	4094395	7850202800	1229971
83	미이라 3:황제의 무덤	롭 코헨		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-07-30	일반영화	장편	미국	527	26222207084	4090795	6942890084	1027371
84	7급 공무원	신태라	(주)하리마오픽쳐스,(주)디씨지플러스		롯데쇼핑㈜롯데엔터테인먼트	2009-04-22	일반영화	장편	한국	475	26701311856	4088799	8090460000	1173540
85	다크 나이트	크리스토퍼 놀란		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2008-08-06	일반영화	장편	미국	462	27059471306	4087355	10406924000	1487898
86	댄싱퀸	이석훈	(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2012-01-18	일반영화	장편	한국	534	30129259500	4057546	8223006000	1055086
87	우리 생애 최고의 순간	임순례	(주)엠케이픽처스 		싸이더스 픽쳐스	2008-01-10	일반영화	장편	한국	418	26151780425	4044582	8551706425	1264173
88	혹성탈출: 반격의 서막	맷 리브스		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-07-10	일반영화	장편	미국	922	31505482895	4001645	9063854995	1095162
89	캡틴 아메리카: 윈터 솔져	조 루소		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-03-26	일반영화	장편	미국	1106	31707872385	3962812	10405400885	1237982
90	공공의 적 2	강우석	(주)시네마서비스		(주)시네마서비스	2005-01-27	일반영화	장편	한국	299	20091142000	3911356	7316095000	1167828
91	박수건달	조진규	주식회사 제이앤피,박수건달문화산업전문(유),쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-01-09	일반영화	장편	한국	599	28343986569	3893216	6808915069	894127
92	한반도	강우석	(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2006-07-13	일반영화	장편	한국	483	20597497600	3880308	7037577000	1077033
93	트로이	볼프강 페터젠	플랜 비 엔터테인먼트,워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2004-05-21	일반영화	장편	미국	177	12777346000	3851000	4883798500	1513408
94	역린	이재규	굿초이스컷픽쳐스(주),(주)파파스필름		롯데쇼핑㈜롯데엔터테인먼트	2014-04-30	일반영화	장편	한국	1054	29893316890	3849435	8426821290	1044988
95	쌍화점	유하	오퍼스픽쳐스		쇼박스㈜미디어플렉스	2008-12-30	일반영화	장편	한국	499	25616489949	3779553	15503994514	2175717
96	신기전	김유진	(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2008-09-04	일반영화	장편	한국	585	24314570667	3726134	6189726667	891357
97	친절한 금자씨	박찬욱	(주)모호필름		씨제이엔터테인먼트(주)	2005-07-29	일반영화	장편	한국	386	20483998393	3650000	8959425000	1375194
98	해리포터와 불의 잔	마이크 뉴웰	워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-12-01	일반영화	장편	미국	504	21464160900	3615000	7681812900	1239817
99	리얼 스틸	숀 레비		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-10-12	일반영화	장편	미국	603	26566677000	3579666	8578776500	1090591
100	신의 한 수	조범구	(주)메이스엔터테인먼트,(주)아지트필름		쇼박스㈜미디어플렉스	2014-07-03	일반영화	장편	한국	794	28775335256	3561868	8102178156	965131
101	미스터 & 미세스 스미스	더그 라이만	뉴리전시 픽쳐스	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2005-06-16	일반영화	장편	미국	302	18900071500	3546900	7443659500	1206120
102	해리 포터와 불사조 기사단	데이빗 예이츠	워너 브러더스 픽쳐스,헤이데이필름	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-07-11	일반영화	장편	미국	768	22899775300	3475000	7300359800	1134747
103	가문의 부활 - 가문의 영광3	정용기	(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2006-09-21	일반영화	장편	한국	444	15996330400	3464516	4790389500	779445
104	부러진 화살	정지영	(주)아우라픽처스		(주)넥스트엔터테인먼트월드(NEW)	2012-01-18	일반영화	장편	한국	453	25878110500	3450941	7619815000	972059
105	끝까지 간다	김성훈	(유)에이디사공육,(주)다세포클럽		쇼박스㈜미디어플렉스	2014-05-29	일반영화	장편	한국	645	26994634900	3448421	7567987400	927324
106	아일랜드	마이클 베이	드림웍스 SKG,워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-07-21	일반영화	장편	미국	340	20363994500	3433900	7884812500	1285400
107	스파이	이승준	(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2013-09-05	일반영화	장편	한국	785	24436429305	3423920	5483475805	733029
108	이끼	강우석	(주)시네마서비스,㈜렛츠필름,(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2010-07-14	일반영화	장편	한국	736	25856306126	3408144	8251736000	1044532
109	포화속으로	이재한	(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스		롯데쇼핑㈜롯데엔터테인먼트	2010-06-16	일반영화	장편	한국	736	24217600897	3385706	6203066000	822965
110	다이 하드 4 : 죽어도 산다	렌 와이즈먼	샤이엔 엔터프라이지즈,이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2007-07-17	일반영화	장편	미국	528	20622308900	3380800	6554350600	990440
111	맨 인 블랙 3	베리 소넨필드		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-05-24	일반영화	장편	미국	770	27301520070	3379762	9258393070	1068672
112	어바웃 타임	리차드 커티스		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-12-05	일반영화	장편	영국	568	24867186000	3375756	10488833000	1368822
113	다빈치 코드	론 하워드		소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아	2006-05-18	일반영화	장편	미국	514	18873057800	3339082	7621936300	1144795
114	슈렉2	켈리 애스버리	드림웍스픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2004-06-18	일반영화	장편	미국	174	10800278500	3300533	5204856000	1285594
115	비긴 어게인	존 카니		판씨네마㈜	판씨네마㈜	2014-08-13	일반영화	장편	미국	525	25537791354	3227751	10158869154	1237645
116	그래비티	알폰소 쿠아론		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-10-17	일반영화	장편	미국	636	31484135600	3227452	14128973600	1311034
117	우주전쟁	스티븐 스필버그	엠블린엔터테인먼트,드림웍스 SKG,파라마운트 픽쳐스	UIP코리아	UIP코리아	2005-07-07	일반영화	장편	미국	401	16758594690	3223000	6345813000	1006450
118	어린 신부	김호준	(주)컬처캡미디어		코리아픽쳐스(주)	2004-04-02	일반영화	장편	한국	70	6240174500	3149500	1892130000	876600
119	그놈 목소리	박진표	영화사 집		씨제이엔터테인먼트(주)	2007-02-01	일반영화	장편	한국	498	17598617600	3143247	5196892500	826287
120	우리들의 행복한 시간	송해성	(주)엘제이필름,상상필름(주)		(주)프라임엔터테인먼트	2006-09-14	일반영화	장편	한국	414	14938924000	3132320	5492384500	980772
121	캐리비안의 해적: 낯선 조류	롭 마샬		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-05-19	일반영화	장편	미국	960	27279967500	3130046	8991119500	977452
122	퀵	조범구	(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2011-07-20	일반영화	장편	한국	512	22960890000	3125069	5353417500	692405
123	감기	김성수	아이러브시네마,(주)아이필름코퍼레이션,씨제이이앤엠(주)		아이러브시네마	2013-08-14	일반영화	장편	한국	806	21784202000	3119023	4692878000	638882
124	말죽거리 잔혹사	유하	싸이더스 픽쳐스,㈜싸이더스픽쳐스		씨제이엔터테인먼트(주)	2004-01-16	일반영화	장편	한국	40	3837152000	3115767	917846500	1023601
125	마파도	추창민	코리아 엔터테인먼트		씨제이엔터테인먼트(주)	2005-03-10	일반영화	장편	한국	178	16751202503	3090467	5931615000	922647
126	하모니	강대규	(주)제이케이필름		씨제이엔터테인먼트(주)	2010-01-28	일반영화	장편	한국	405	21992266198	3068544	5451128000	718993
127	거북이 달린다	이연우	(주)씨네이천		쇼박스㈜미디어플렉스	2009-06-11	일반영화	장편	한국	379	20857347292	3059812	6785771000	942277
128	너는 내 운명	박진표	(주)영화사봄		씨제이엔터테인먼트(주)	2005-09-23	일반영화	장편	한국	306	17653958500	3051134	6925999500	1063480
129	토르: 다크 월드	앨런 테일러		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-10-30	일반영화	장편	미국	733	22525808500	3039889	6890911500	885699
130	식객	전윤수	쇼이스트(주)		씨제이엔터테인먼트(주)	2007-11-01	일반영화	장편	한국	406	18984549500	3038868	6006657500	913989
131	방자전	김대우	(주)바른손 ,시오필름(주),(주)더타워픽쳐스		씨제이엔터테인먼트(주)	2010-06-02	일반영화	장편	한국	512	22853629794	3035116	7700850000	975688
132	하울의 움직이는 성	미야자키 하야오	지브리 스튜디오	대원미디어㈜	(주)시네마서비스	2004-12-23	다양성(예술)영화	장편	일본	183	15148496500	3015165	5656447500	981221
133	마더	봉준호	(주)바른손 		씨제이엔터테인먼트(주)	2009-05-28	일반영화	장편	한국	648	20195373838	3013523	7430891000	1060010
134	투모로우	롤랜드 에머리히	센트로폴리스 엔터테인먼트,더 마크 고든 컴퍼니	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2004-06-03	일반영화	장편	미국	164	11658584500	3006400	4253246500	959010
135	레드: 더 레전드	딘 패리소트		블루미지	롯데쇼핑㈜롯데엔터테인먼트	2013-07-18	일반영화	장편	미국	739	21511358970	3004647	6308770970	841287
136	해리 포터와 혼혈 왕자	데이빗 예이츠	워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2009-07-15	일반영화	장편	미국	751	20580402431	3002669	6666092500	907125
137	오싹한 연애	황인호	상상필름(주)		씨제이이앤엠(주)	2011-12-01	일반영화	장편	한국	469	21965313000	3001530	6146203500	797727
138	드래곤 길들이기 2	딘 데블로이스		씨제이이앤엠(주)	씨제이이앤엠(주)	2014-07-23	일반영화	장편	미국	829	23952932189	2996191	6557347889	751033
139	황금 나침반	크리스 웨이츠	뉴라인 시네마	(주)태원엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2007-12-18	일반영화	장편	미국	492	18336681000	2979838	5816172000	883918
140	친구 2	곽경택	(주)트리니티엔터테인먼트,(주)제이콘컴퍼니		롯데쇼핑㈜롯데엔터테인먼트	2013-11-14	일반영화	장편	한국	968	21804687513	2971475	5171825013	675887
141	26년	조근현	영화사청어람(주)		(주)인벤트스톤	2012-11-29	일반영화	장편	한국	604	21241327145	2963449	6121058611	817210
142	워낭소리	이충렬	스튜디오느림보		㈜인디스토리	2009-01-15	다양성(예술)영화	장편	한국	20	19259975032	2962897	6486389900	958688
143	고지전	장훈	(주)티피에스컴퍼니		쇼박스㈜미디어플렉스	2011-07-20	일반영화	장편	한국	585	21968557600	2945137	6379632100	817904
144	300	잭 스나이더	워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-03-14	일반영화	장편	미국	402	18683698500	2929400	7090410000	1076005
145	솔트	필립 노이스	콜럼비아 픽쳐스 코포레이션	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2010-07-29	일반영화	장편	미국	556	21719123025	2921331	6529156500	837532
146	헬로우 고스트	김영탁	(주)워터앤트리		(주)넥스트엔터테인먼트월드(NEW)	2010-12-22	일반영화	장편	한국	472	21154651779	2897477	6343048000	823854
147	귀신이 산다	김상진	(주)시네마서비스		(주)시네마서비스	2004-09-17	일반영화	장편	한국	174	11898748500	2890000	3918371000	751340
