Number	Title	Director1	Director2	Director3	Production_Company	Importer	Distributor	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number	Movie_Rate	Running_Time	Genre1	Genre2	Actor1	Actor2	Actor3
11	겨울왕국	크리스 벅	제니퍼 리			소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-01-16	개봉영화	장편	미국	1010	82461504400	10296101	25847243500	3003446	전체관람가	108	애니메이션	뮤지컬	크리스틴 벨 	조시 게드	
12	관상	한재림			(주)주피터필름,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-09-11	개봉영화	장편	한국	1190	66005451500	9134586	19311179000	2561744	15세이상관람가	140	사극	드라마	송강호	이정재	김혜수
13	아이언맨 3	쉐인 블랙			파라마운트 픽쳐스	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-04-25	개봉영화	장편	미국	1381	70806191000	9001309	21668935500	2595269	12세이상관람가	130	액션	SF	로버트 다우니 주니어	기네스 팰트로우	
14	설국열차	봉준호			(주)모호필름,오퍼스픽쳐스		씨제이이앤엠(주)	2013-08-01	개봉영화	장편	한국	1128	64016480000	8914845	18975866000	2550437	15세이상관람가	125	SF	액션	크리스 에반스	송강호	에드 해리스
15	수상한 그녀	황동혁			(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름		씨제이이앤엠(주)	2014-01-22	개봉영화	장편	한국	692	62696751249	8656417	15358810049	2042110	15세이상관람가	127	드라마	코미디	심은경	나문희	이진욱
16	해적: 바다로 간 산적	이석훈			(주)하리마오픽쳐스		롯데쇼핑㈜롯데엔터테인먼트	2014-08-06	개봉영화	장편	한국	910	66183966806	8625183	14928658006	1867143	12세이상관람가	130	어드벤처	코미디	김남길	손예진	유해진
17	국가대표	김용화			케이엠컬쳐㈜		쇼박스㈜미디어플렉스	2009-07-29	개봉영화	장편	한국	580	60896633308	8487894	16782332500	2213346	12세이상관람가	137	드라마	코미디	하정우	성동일	김지석
18	디워	심형래			㈜영구아트		쇼박스㈜미디어플렉스	2007-08-01	개봉영화	장편	한국	622	49340084700	8426973	13320274500	2098438	12세이상관람가	90	 SF	액션	브룩스 아만다	베어 제이슨	
19	과속스캔들	강형철			(주)토일렛픽쳐스,(주)디씨지플러스		롯데쇼핑㈜롯데엔터테인먼트	2008-12-03	개봉영화	장편	한국	405	53940101534	8245523	16515292833	2390408	12세이상관람가	108	코미디	드라마	차태현	박보영	왕석현
20	웰컴 투 동막골	박광현			필름있수다,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2005-08-04	개봉영화	장편	한국	356	40329355500	8008622	15058450500	2435088	12세이상관람가	133	전쟁	드라마	신하균	정재영	강혜정
21	트랜스포머 3	마이클 베이				씨제이이앤엠(주)	씨제이이앤엠(주)	2011-06-29	개봉영화	장편	미국	1409	74841350500	7784807	21746223000	2143018	12세이상관람가	152	SF	액션	샤이아 라보프	조쉬 더하멜 	
22	미션임파서블:고스트프로토콜	브래드 버드			파라마운트 픽쳐스	씨제이이앤엠(주)	씨제이이앤엠(주)	2011-12-15	개봉영화	장편	미국	1038	57795846000	7575899	18719283500	2347164	15세이상관람가	132	액션		톰 크루즈	제레미 레너	
23	트랜스포머: 패자의 역습	마이클 베이			드림웍스 SKG,파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2009-06-24	개봉영화	장편	미국	1129	51478531663	7505700	16083028500	2200557	12세이상관람가	149	SF	액션	샤이아 라보프	메간 폭스	
24	최종병기 활	김한민			(주)디씨지플러스,(주)다세포클럽		롯데쇼핑㈜롯데엔터테인먼트	2011-08-10	개봉영화	장편	한국	615	55808856500	7466976	16139541000	2059847	15세이상관람가	122	사극	액션	박해일	류승룡	김무열
25	트랜스포머	마이클 베이			드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2007-06-28	개봉영화	장편	미국	863	47710604338	7440531	15304470500	2300866	12세이상관람가	135	SF	액션	샤이아 라보프	메간 폭스	
26	써니	강형철			(주)알로하픽쳐스,(주)토일렛픽쳐스		씨제이이앤엠(주)	2011-05-04	개봉영화	장편	한국	472	53773170600	7328820	15401904600	2004824	15세이상관람가	124	드라마	코미디	심은경	유호정	강소라
27	화려한 휴가	김지훈			기획시대(주)		씨제이엔터테인먼트(주)	2007-07-25	개봉영화	장편	한국	551	44098621600	7307993	12987272100	2009666	12세이상관람가	125	드라마		김상경	안성기	이요원
28	베를린	류승완			(주)외유내강,씨제이이앤엠(주)		씨제이이앤엠(주)	2013-01-30	개봉영화	장편	한국	894	52354931637	7166199	16070379637	2118794	15세이상관람가	120	액션		하정우	한석규	전지현
29	어벤져스	조스 웨던				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-04-26	개봉영화	장편	미국	967	59557853478	7074867	19280107897	2147619	12세이상관람가	142	SF	액션	로버트 다우니 주니어	크리스 에반스	스칼렛 요한슨
30	은밀하게 위대하게	장철수			(주)엠씨엠씨		쇼박스㈜미디어플렉스	2013-06-05	개봉영화	장편	한국	1341	48663939413	6953800	12415574413	1691014	15세이상관람가	123	액션	코미디	김수현	박기웅	이현우
31	타짜	최동훈			(주)영화사참,싸이더스 픽쳐스		씨제이엔터테인먼트(주)	2006-09-28	개봉영화	장편	한국	492	36181466700	6847777	13074245500	2091058	청소년관람불가	139	드라마		조승우	김혜수	유해진
32	좋은 놈, 나쁜 놈, 이상한 놈 	김지운			영화사그림,(주)바른손 		씨제이엔터테인먼트(주)	2008-07-17	개봉영화	장편	한국	825	43768628939	6686912	13860913000	2012173	15세이상관람가	139	서부극	액션	송강호	이병헌	정우성
33	늑대소년	조성희			(주)영화사비단길		씨제이이앤엠(주)	2012-10-31	개봉영화	장편	한국	706	46593107500	6654837	12336313500	1677173	15세이상관람가	124	멜로/로맨스	드라마	송중기	박보영	유연석
34	미녀는 괴로워	김용화			리얼라이즈픽쳐스(주),케이엠컬쳐㈜		쇼박스㈜미디어플렉스	2006-12-14	개봉영화	장편	한국	418	36292848900	6619498	12246595500	1934910	12세이상관람가	120	멜로/로맨스	코미디	김아중	주진모	
35	다크 나이트 라이즈	크리스토퍼 놀란				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2012-07-19	개봉영화	장편	미국	1210	47644838000	6396528	16258149500	2057529	15세이상관람가	164	액션	범죄	크리스찬 베일 	게리 올드만	앤 해서웨이
36	아저씨	이정범			오퍼스픽쳐스		씨제이엔터테인먼트(주)	2010-08-04	개봉영화	장편	한국	478	47870792359	6282774	14820865000	1863328	청소년관람불가	119	액션	드라마	원빈	김새론	
37	전우치	최동훈			영화사 집		씨제이엔터테인먼트(주)	2009-12-23	개봉영화	장편	한국	606	44605437017	6136928	12917834500	1684123	12세이상관람가	136	액션	코미디	강동원	김윤석	유해진
38	투사부일체	김동원			(주)시네마제니스 		씨제이엔터테인먼트(주)	2006-01-19	개봉영화	장편	한국	407	31959686000	6105431	9592050000	1502821	15세이상관람가	125	코미디		정준호	정웅인	김상중
39	인셉션	크리스토퍼 놀란			워너 브러더스 픽쳐스,레젼데리 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2010-07-21	개봉영화	장편	미국	528	44106546302	5926948	15810485000	2026998	12세이상관람가	147	드라마	미스터리	레오나르도 디카프리오	엘렌 페이지 	
40	레미제라블	톰 후퍼				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2012-12-19	개봉영화	장편	미국	696	43044999000	5911890	16482217500	2190090	12세이상관람가	158	드라마		휴 잭맨	러셀 크로우	앤 해서웨이
41	미션 임파서블 3	J.J. 에이브럼스			파라마운트 픽쳐스,크루즈/와그너 프로덕션	UIP코리아	UIP코리아	2006-05-03	개봉영화	장편	미국	441	32155201400	5740789	12181028900	1584202	15세이상관람가	124	액션		톰 크루즈	필립 세이무어 호프먼	
42	가문의 위기(가문의 영광2)	정용기			(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2005-09-07	개봉영화	장편	한국	351	28622355500	5635266	9133922000	1451468	15세이상관람가	115	코미디		신현준	김수미	김원희
43	숨바꼭질	허정			(주)드림캡쳐		(주)넥스트엔터테인먼트월드(NEW)	2013-08-14	개봉영화	장편	한국	779	39593038500	5602543	10079982000	1356936	15세이상관람가	108	스릴러		손현주	문정희	전미선
44	더 테러 라이브	김병우			(주)씨네이천		롯데쇼핑㈜롯데엔터테인먼트	2013-07-31	개봉영화	장편	한국	743	39866712881	5583596	11349884881	1525130	15세이상관람가	98	범죄		하정우	이경영	
45	의형제	장훈			쇼박스㈜미디어플렉스,(주)다세포클럽,루비콘픽쳐스㈜		쇼박스㈜미디어플렉스	2010-02-04	개봉영화	장편	한국	572	40800867602	5507106	12204373500	1563042	15세이상관람가	116	드라마	액션	송강호	강동원	
46	감시자들	조의석	김병서		영화사 집		(주)넥스트엔터테인먼트월드(NEW)	2013-07-03	개봉영화	장편	한국	949	39298005179	5496547	11031549179	1477594	15세이상관람가	118	범죄	액션	설경구	정우성	한효주
47	2012	롤랜드 에머리히			센트로폴리스 엔터테인먼트	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-11-12	개봉영화	장편	미국	789	39415166660	5462953	11671854500	1528658	12세이상관람가	157	SF	액션	존 쿠삭	아만다 피트	
48	완득이	이한			(주)유비유필름,어나더픽쳐스(주)		씨제이이앤엠(주)	2011-10-20	개봉영화	장편	한국	500	38530503500	5310510	11657798500	1525277	12세이상관람가	107	드라마		김윤석	유아인	
49	트랜스포머: 사라진 시대	마이클 베이				씨제이이앤엠(주)	씨제이이앤엠(주)	2014-06-25	개봉영화	장편	미국	1602	44013169845	5295935	11664376045	1323527	12세이상관람가	165	SF	액션	마크 월버그 	니콜라 펠츠	
50	월드 워 Z	마크 포스터			플랜 비 엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2013-06-20	개봉영화	장편	미국	964	38555357000	5237525	12048296500	1562677	15세이상관람가	115	드라마	스릴러	브래드 피트	미레유 에노스	
51	타워	김지훈			씨제이이앤엠(주),(주)더타워픽쳐스		씨제이이앤엠(주)	2012-12-25	개봉영화	장편	한국	617	37654858000	5181014	9052298500	1186378	12세이상관람가	121	드라마		설경구	손예진	김상경
52	말아톤	정윤철			시네라인투(주)		쇼박스㈜미디어플렉스	2005-01-27	개봉영화	장편	한국	238	26284943000	5148022	9548544000	1552548	전체관람가	117	드라마		조승우	김미숙	
53	추격자	나홍진			(주)영화사비단길		쇼박스㈜미디어플렉스	2008-02-14	개봉영화	장편	한국	435	33943278500	5071619	11611882500	1662668	청소년관람불가	123	범죄	스릴러	김윤석	하정우	
54	쿵푸팬더 2	여인영				씨제이이앤엠(주)	씨제이이앤엠(주)	2011-05-26	개봉영화	장편	미국	948	44298724500	5062722	14917759000	1575363	전체관람가	91	애니메이션	액션	잭 블랙	더스틴 호프만	성룡
55	캐리비안의 해적: 세상의 끝에서	고어 버빈스키			제리 브룩하이머 필름,월트 디즈니 픽쳐스	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-05-23	개봉영화	장편	미국	953	29133447500	4966571	9667900500	1481077	12세이상관람가	168	코미디	어드벤처	조니 뎁	올랜도 볼룸	
56	스파이더맨 3	샘 레이미			콜럼비아 픽쳐스 코포레이션,마블 엔터프라이즈	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-05-01	개봉영화	장편	미국	806	29511658000	4935660	9581762500	1444270	12세이상관람가	139	SF	액션	토비 맥과이어	커스틴 던스트	
57	바람과 함께 사라지다	김주호			(주)두타연,(유)에이디사공육		(주)넥스트엔터테인먼트월드(NEW)	2012-08-08	개봉영화	장편	한국	694	34524377161	4897551	8302901161	1122802	12세이상관람가	121	코미디	사극	차태현	오지호	민효린
58	어메이징 스파이더맨	마크 웹				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-06-28	개봉영화	장편	미국	1118	41163951235	4853123	13100185524	1446116	12세이상관람가	136	액션	SF	앤드류 가필드	엠마 스톤	
59	조선명탐정:각시투구꽃의 비밀	김석윤			청년필름(주)		쇼박스㈜미디어플렉스	2011-01-27	개봉영화	장편	한국	611	35841769500	4786259	10712744000	1363857	12세이상관람가	115	코미디	사극	김명민	한지민	오달수
60	군도: 민란의 시대	윤종빈			(주)영화사 월광,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2014-07-23	개봉영화	장편	한국	1394	36963364899	4771552	9955601299	1236822	15세이상관람가	137	사극	액션	하정우	강동원	이성민
61	범죄와의 전쟁: 나쁜놈들 전성시대	윤종빈			(주)팔레트픽처스,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2012-02-02	개봉영화	장편	한국	699	36479147500	4710454	11716858500	1451900	청소년관람불가	133	범죄	드라마	최민식	하정우	
62	엣지 오브 투모로우	더그 라이만				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2014-06-04	개봉영화	장편	미국	801	38689974201	4695046	12201890401	1401889	12세이상관람가	113	SF	액션	톰 크루즈	에밀리 블런트	
63	신세계	박훈정			(주)사나이픽처스,페퍼민트앤컴퍼니,주식회사 대명문화공장,(주)파트너스케이		(주)넥스트엔터테인먼트월드(NEW)	2013-02-21	개봉영화	장편	한국	671	34881330905	4682492	11114978905	1435648	청소년관람불가	134	범죄	액션	이정재	최민식	황정민
64	쿵푸 팬더	마크 오스본	존 스티븐슨			씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-06-05	개봉영화	장편	미국	351	30000965000	4673009	10590329000	1556669	전체관람가	92	애니메이션	액션	잭 블랙	더스틴 호프만	성룡
65	도가니	황동혁			(주)삼거리픽쳐스 ,(주)판타지오		씨제이이앤엠(주)	2011-09-22	개봉영화	장편	한국	644	35566854800	4662822	10141606500	1267508	청소년관람불가	125	드라마		정유진	공유	
66	캐리비안의 해적 : 망자의 함	고어 버빈스키			월트 디즈니 픽쳐스	브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아	2006-07-06	개봉영화	장편	미국	456	23832939000	4628903	8931507500	1525853	12세이상관람가	143	코미디	어드벤처	조니 뎁 	올랜도 볼룸	
67	박물관이 살아있다!	숀 레비			이십세기폭스필름코퍼레이션,1492픽쳐스	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2006-12-21	개봉영화	장편	미국	345	24401542200	4612831	7233315000	1226404	전체관람가	108	코미디	어드벤처	벤 스틸러	로빈 윌리엄스	
68	내 아내의 모든 것	민규동			(주)수필름,영화사 집		(주)넥스트엔터테인먼트월드(NEW)	2012-05-17	개봉영화	장편	한국	563	34222160500	4598583	11547286500	1475165	15세이상관람가	121	코미디	멜로/로맨스	임수정	이선균	류승룡
69	터미네이터 : 미래전쟁의 시작	맥지			더 할사이온 컴퍼니	(유)마스엔터테인먼트코리아	롯데쇼핑㈜롯데엔터테인먼트	2009-05-21	개봉영화	장편	미국	704	30146162133	4568891	9506441000	1367218	15세이상관람가	115	SF	액션	크리스찬 베일	샘 워싱턴	문 블러드굿
70	맘마미아!	필리다 로이드				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-09-03	개봉영화	장편	미국	457	29570784560	4554785	11275657333	1646593	12세이상관람가	108	멜로/로맨스	뮤지컬	아만다 사이프리드	메릴 스트립	콜린 퍼스
71	연가시	박정우			(주)오죤필름		씨제이이앤엠(주)	2012-07-05	개봉영화	장편	한국	759	32154766664	4513026	7819583000	1040068	15세이상관람가	109	공포	SF	김명민	문정희	김동완
72	아이언맨 2	존 파브로			파라마운트 픽쳐스,마블 엔터프라이즈	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-04-29	개봉영화	장편	미국	757	33161943100	4498335	10697867500	1370291	12세이상관람가	125	SF	액션	로버트 다우니 주니어	기네스 팰트로우	
73	해리포터와 죽음의 성물2	데이빗 예이츠				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2011-07-13	개봉영화	장편	미국	757	34507819000	4400298	11183806000	1361311	전체관람가	131	판타지	미스터리	다니엘 래드클리프	엠마 왓슨	루퍼트 그린트
74	아이언맨	존 파브로				씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-04-30	개봉영화	장편	미국	592	27802744668	4316003	9029366168	1329214	12세이상관람가	125	SF	액션	로버트 다우니 주니어	기네스 팰트로우	
75	엑스맨: 데이즈 오브 퓨처 패스트	브라이언 싱어				이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-05-22	개봉영화	장편	미국	1056	34651695766	4313446	11315080666	1345720	12세이상관람가	134	SF	액션	휴 잭맨 	제임스 맥어보이	마이클 패스밴더
76	강철중: 공공의 적 1-1	강우석			(주)케이앤제이엔터테인먼트,(주)시네마서비스		씨제이엔터테인먼트(주),(주)시네마서비스	2008-06-19	개봉영화	장편	한국	659	28465757767	4300670	9048970100	1298197	15세이상관람가	127	드라마	액션	설경구	정재영	
77	킹콩	피터 잭슨			유니버셜 픽쳐스	UIP코리아	UIP코리아	2005-12-14	개봉영화	장편	미국	319	21476653172	4232430	7703272472	1352121	15세이상관람가	186	드라마	어드벤처	잭 블랙 	나오미 왓츠	애드리언 브로디
78	어메이징 스파이더맨 2	마크 웹				소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-04-23	개봉영화	장편	미국	1312	34844174800	4164946	10562832700	1187974	12세이상관람가	142	액션	SF	앤드류 가필드	엠마 스톤	
79	인디아나 존스 4 : 크리스탈 해골의 왕국	스티븐 스필버그				씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-05-22	개봉영화	장편	미국	660	26693951667	4136101	8495873167	1245028	12세이상관람가	121	액션	어드벤처	해리슨 포드	샤이아 라보프	
80	용의자	원신연			(주)그린피쉬,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-12-24	개봉영화	장편	한국	807	30041348000	4131873	7563772000	997760	15세이상관람가	138	액션	스릴러	공유	박희순	
81	건축학개론	이용주			(주)명필름		롯데쇼핑㈜롯데엔터테인먼트	2012-03-22	개봉영화	장편	한국	593	30219800500	4110645	11003948000	1431173	12세이상관람가	118	멜로/로맨스	드라마	엄태웅	한가인	이제훈
82	태풍	곽경택			씨제이엔터테인먼트(주)		씨제이엔터테인먼트(주)	2005-12-14	개봉영화	장편	한국	481	22209675300	4094395	7850202800	1229971	15세이상관람가	125	드라마	액션	장동건	이정재	이미연
83	미이라 3:황제의 무덤	롭 코헨				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-07-30	개봉영화	장편	미국	527	26222207084	4090795	6942890084	1027371	12세이상관람가	111	액션	어드벤처	브렌든 프레이저	이연걸	
84	7급 공무원	신태라			(주)하리마오픽쳐스,(주)디씨지플러스		롯데쇼핑㈜롯데엔터테인먼트	2009-04-22	개봉영화	장편	한국	475	26701311856	4088799	8090460000	1173540	12세이상관람가	112	코미디	액션	김하늘	강지환	
85	다크 나이트	크리스토퍼 놀란				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2008-08-06	개봉영화	장편	미국	462	27059471306	4087355	10406924000	1487898	15세이상관람가	152	범죄	드라마	크리스찬 베일	히스 레저	
86	댄싱퀸	이석훈			(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2012-01-18	개봉영화	장편	한국	534	30129259500	4057546	8223006000	1055086	12세이상관람가	124	코미디	드라마	황정민	엄정화	
87	우리 생애 최고의 순간	임순례			(주)엠케이픽처스 		싸이더스 픽쳐스	2008-01-10	개봉영화	장편	한국	418	26151780425	4044582	8551706425	1264173	전체관람가	124	드라마		문소리	김정은	엄태웅
88	혹성탈출: 반격의 서막	맷 리브스				이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-07-10	개봉영화	장편	미국	922	31505482895	4001645	9063854995	1095162	12세이상관람가	130	액션	SF	앤디 서키스	게리 올드만	
89	캡틴 아메리카: 윈터 솔져	조 루소	안소니 루소			소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-03-26	개봉영화	장편	미국	1106	31707872385	3962812	10405400885	1237982	15세이상관람가	136	액션	SF	크리스 에반스	스칼렛 요한슨	
90	공공의 적 2	강우석			(주)시네마서비스		(주)시네마서비스	2005-01-27	개봉영화	장편	한국	299	20091142000	3911356	7316095000	1167828	15세이상관람가	149	드라마		설경구	정준호	
91	박수건달	조진규			주식회사 제이앤피,박수건달문화산업전문(유),쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-01-09	개봉영화	장편	한국	599	28343986569	3893216	6808915069	894127	15세이상관람가	128	코미디		박신양	김정태	
92	한반도	강우석			(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2006-07-13	개봉영화	장편	한국	483	20597497600	3880308	7037577000	1077033	15세이상관람가	147	드라마	액션	조재현	안성기	차인표
93	트로이	볼프강 페터젠			플랜 비 엔터테인먼트,워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2004-05-21	개봉영화	장편	미국	177	12777346000	3851000	4883798500	1513408	15세이상관람가	136	사극		에릭 바나	브래드 피트	다이앤 크루거
94	역린	이재규			굿초이스컷픽쳐스(주),(주)파파스필름		롯데쇼핑㈜롯데엔터테인먼트	2014-04-30	개봉영화	장편	한국	1054	29893316890	3849435	8426821290	1044988	15세이상관람가	136	사극		현빈	정재영	조정석
95	쌍화점	유하			오퍼스픽쳐스		쇼박스㈜미디어플렉스	2008-12-30	개봉영화	장편	한국	499	25616489949	3779553	15503994514	2175717	청소년관람불가	133	사극	드라마	주진모	조인성	송지효
96	신기전	김유진			(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2008-09-04	개봉영화	장편	한국	585	24314570667	3726134	6189726667	891357	15세이상관람가	134	사극	드라마	정재영	한은정	
97	친절한 금자씨	박찬욱			(주)모호필름		씨제이엔터테인먼트(주)	2005-07-29	개봉영화	장편	한국	386	20483998393	3650000	8959425000	1375194	청소년관람불가	112	스릴러		이영애	최민식	
98	해리포터와 불의 잔	마이크 뉴웰			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-12-01	개봉영화	장편	미국	504	21464160900	3615000	7681812900	1239817	전체관람가	156	판타지		다니엘 래드클리프	엠마 왓슨	
99	리얼 스틸	숀 레비				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-10-12	개봉영화	장편	미국	603	26566677000	3579666	8578776500	1090591	12세이상관람가	127	액션	SF	휴 잭맨 		
100	신의 한 수	조범구			(주)메이스엔터테인먼트,(주)아지트필름		쇼박스㈜미디어플렉스	2014-07-03	개봉영화	장편	한국	794	28775335256	3561868	8102178156	965131	청소년관람불가	118	범죄	액션	정우성	이범수	안성기
101	미스터 & 미세스 스미스	더그 라이만			뉴리전시 픽쳐스	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2005-06-16	개봉영화	장편	미국	302	18900071500	3546900	7443659500	1206120	15세이상관람가	120	멜로/로맨스	액션	브래드 피트	안젤리나 졸리	
102	해리 포터와 불사조 기사단	데이빗 예이츠			워너 브러더스 픽쳐스,헤이데이필름	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-07-11	개봉영화	장편	미국	768	22899775300	3475000	7300359800	1134747	전체관람가	137	판타지	액션	다니엘 래드클리프	엠마 왓슨	루퍼트 그린트
103	가문의 부활 - 가문의 영광3	정용기			(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2006-09-21	개봉영화	장편	한국	444	15996330400	3464516	4790389500	779445	15세이상관람가	128	코미디		신현준	김수미	김원희
104	부러진 화살	정지영			(주)아우라픽처스		(주)넥스트엔터테인먼트월드(NEW)	2012-01-18	개봉영화	장편	한국	453	25878110500	3450941	7619815000	972059	15세이상관람가	100	드라마		안성기	박원상	
105	끝까지 간다	김성훈			(유)에이디사공육,(주)다세포클럽		쇼박스㈜미디어플렉스	2014-05-29	개봉영화	장편	한국	645	26994634900	3448421	7567987400	927324	15세이상관람가	111	액션	스릴러	이선균	조진웅	
106	아일랜드	마이클 베이			드림웍스 SKG,워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-07-21	개봉영화	장편	미국	340	20363994500	3433900	7884812500	1285400	12세이상관람가	135	SF	액션	이완 맥그리거	스칼렛 요한슨	
107	스파이	이승준			(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2013-09-05	개봉영화	장편	한국	785	24436429305	3423920	5483475805	733029	15세이상관람가	121	액션	코미디	설경구	문소리	다니엘 헤니
